Name;Station;Time(norwegian mean time);Precipitation (1 h), mm
Bergen - Florida;SN50540;05.01.2024 04:00;0
Bergen - Florida;SN50540;05.01.2024 05:00;0
Bergen - Florida;SN50540;05.01.2024 06:00;0
Bergen - Florida;SN50540;05.01.2024 07:00;0
Bergen - Florida;SN50540;05.01.2024 08:00;0
Bergen - Florida;SN50540;05.01.2024 09:00;0
Bergen - Florida;SN50540;05.01.2024 10:00;0
Bergen - Florida;SN50540;05.01.2024 11:00;0
Bergen - Florida;SN50540;05.01.2024 12:00;0
Bergen - Florida;SN50540;05.01.2024 13:00;0
Bergen - Florida;SN50540;05.01.2024 14:00;0
Bergen - Florida;SN50540;05.01.2024 15:00;0
Bergen - Florida;SN50540;05.01.2024 16:00;0
Bergen - Florida;SN50540;05.01.2024 17:00;0
Bergen - Florida;SN50540;05.01.2024 18:00;0
Bergen - Florida;SN50540;05.01.2024 19:00;0
Bergen - Florida;SN50540;05.01.2024 20:00;0
Bergen - Florida;SN50540;05.01.2024 21:00;0
Bergen - Florida;SN50540;05.01.2024 22:00;0
Bergen - Florida;SN50540;05.01.2024 23:00;0
Bergen - Florida;SN50540;06.01.2024 00:00;0
Bergen - Florida;SN50540;06.01.2024 01:00;0
Bergen - Florida;SN50540;06.01.2024 02:00;0
Bergen - Florida;SN50540;06.01.2024 03:00;0
Bergen - Florida;SN50540;06.01.2024 04:00;0
Bergen - Florida;SN50540;06.01.2024 05:00;0
Bergen - Florida;SN50540;06.01.2024 06:00;0
Bergen - Florida;SN50540;06.01.2024 07:00;0
Bergen - Florida;SN50540;06.01.2024 08:00;0
Bergen - Florida;SN50540;06.01.2024 09:00;0
Bergen - Florida;SN50540;06.01.2024 10:00;0
Bergen - Florida;SN50540;06.01.2024 11:00;0
Bergen - Florida;SN50540;06.01.2024 12:00;0
Bergen - Florida;SN50540;06.01.2024 13:00;0
Bergen - Florida;SN50540;06.01.2024 14:00;0
Bergen - Florida;SN50540;06.01.2024 15:00;0
Bergen - Florida;SN50540;06.01.2024 16:00;0
Bergen - Florida;SN50540;06.01.2024 17:00;0
Bergen - Florida;SN50540;06.01.2024 18:00;0
Bergen - Florida;SN50540;06.01.2024 19:00;0
Bergen - Florida;SN50540;06.01.2024 20:00;0
Bergen - Florida;SN50540;06.01.2024 21:00;0
Bergen - Florida;SN50540;06.01.2024 22:00;0
Bergen - Florida;SN50540;06.01.2024 23:00;0
Bergen - Florida;SN50540;07.01.2024 00:00;0
Bergen - Florida;SN50540;07.01.2024 01:00;0
Bergen - Florida;SN50540;07.01.2024 02:00;0
Bergen - Florida;SN50540;07.01.2024 03:00;0
Bergen - Florida;SN50540;07.01.2024 04:00;0
Bergen - Florida;SN50540;07.01.2024 05:00;0
Bergen - Florida;SN50540;07.01.2024 06:00;0
Bergen - Florida;SN50540;07.01.2024 07:00;0
Bergen - Florida;SN50540;07.01.2024 08:00;0
Bergen - Florida;SN50540;07.01.2024 09:00;0
Bergen - Florida;SN50540;07.01.2024 10:00;0
Bergen - Florida;SN50540;07.01.2024 11:00;0
Bergen - Florida;SN50540;07.01.2024 12:00;0
Bergen - Florida;SN50540;07.01.2024 13:00;0
Bergen - Florida;SN50540;07.01.2024 14:00;0
Bergen - Florida;SN50540;07.01.2024 15:00;0
Bergen - Florida;SN50540;07.01.2024 16:00;0
Bergen - Florida;SN50540;07.01.2024 17:00;0
Bergen - Florida;SN50540;07.01.2024 18:00;0
Bergen - Florida;SN50540;07.01.2024 19:00;0
Bergen - Florida;SN50540;07.01.2024 20:00;0
Bergen - Florida;SN50540;07.01.2024 21:00;0
Bergen - Florida;SN50540;07.01.2024 22:00;0
Bergen - Florida;SN50540;07.01.2024 23:00;0
Bergen - Florida;SN50540;08.01.2024 00:00;0
Bergen - Florida;SN50540;08.01.2024 01:00;0
Bergen - Florida;SN50540;08.01.2024 02:00;0
Bergen - Florida;SN50540;08.01.2024 03:00;0
Bergen - Florida;SN50540;08.01.2024 04:00;0
Bergen - Florida;SN50540;08.01.2024 05:00;0
Bergen - Florida;SN50540;08.01.2024 06:00;0
Bergen - Florida;SN50540;08.01.2024 07:00;0
Bergen - Florida;SN50540;08.01.2024 08:00;0
Bergen - Florida;SN50540;08.01.2024 09:00;0
Bergen - Florida;SN50540;08.01.2024 10:00;0
Bergen - Florida;SN50540;08.01.2024 11:00;0
Bergen - Florida;SN50540;08.01.2024 12:00;0
Bergen - Florida;SN50540;08.01.2024 13:00;0
Bergen - Florida;SN50540;08.01.2024 14:00;0
Bergen - Florida;SN50540;08.01.2024 15:00;0
Bergen - Florida;SN50540;08.01.2024 16:00;0
Bergen - Florida;SN50540;08.01.2024 17:00;0
Bergen - Florida;SN50540;08.01.2024 18:00;0
Bergen - Florida;SN50540;08.01.2024 19:00;0
Bergen - Florida;SN50540;08.01.2024 20:00;0
Bergen - Florida;SN50540;08.01.2024 21:00;0
Bergen - Florida;SN50540;08.01.2024 22:00;0
Bergen - Florida;SN50540;08.01.2024 23:00;0
Bergen - Florida;SN50540;09.01.2024 00:00;0
Bergen - Florida;SN50540;09.01.2024 01:00;0
Bergen - Florida;SN50540;09.01.2024 02:00;0
Bergen - Florida;SN50540;09.01.2024 03:00;0
Bergen - Florida;SN50540;09.01.2024 04:00;0
Bergen - Florida;SN50540;09.01.2024 05:00;0
Bergen - Florida;SN50540;09.01.2024 06:00;0
Bergen - Florida;SN50540;09.01.2024 07:00;0
Bergen - Florida;SN50540;09.01.2024 08:00;0
Bergen - Florida;SN50540;09.01.2024 09:00;0
Bergen - Florida;SN50540;09.01.2024 10:00;0
Bergen - Florida;SN50540;09.01.2024 11:00;0
Bergen - Florida;SN50540;09.01.2024 12:00;0
Bergen - Florida;SN50540;09.01.2024 13:00;0
Bergen - Florida;SN50540;09.01.2024 14:00;0
Bergen - Florida;SN50540;09.01.2024 15:00;0
Bergen - Florida;SN50540;09.01.2024 16:00;0
Bergen - Florida;SN50540;09.01.2024 17:00;0
Bergen - Florida;SN50540;09.01.2024 18:00;0
Bergen - Florida;SN50540;09.01.2024 19:00;0
Bergen - Florida;SN50540;09.01.2024 20:00;0
Bergen - Florida;SN50540;09.01.2024 21:00;0
Bergen - Florida;SN50540;09.01.2024 22:00;0
Bergen - Florida;SN50540;09.01.2024 23:00;0
Bergen - Florida;SN50540;10.01.2024 00:00;0
Bergen - Florida;SN50540;10.01.2024 01:00;0
Bergen - Florida;SN50540;10.01.2024 02:00;0
Bergen - Florida;SN50540;10.01.2024 03:00;0
Bergen - Florida;SN50540;10.01.2024 04:00;0
Bergen - Florida;SN50540;10.01.2024 05:00;0
Bergen - Florida;SN50540;10.01.2024 06:00;0
Bergen - Florida;SN50540;10.01.2024 07:00;0
Bergen - Florida;SN50540;10.01.2024 08:00;0
Bergen - Florida;SN50540;10.01.2024 09:00;0
Bergen - Florida;SN50540;10.01.2024 10:00;0
Bergen - Florida;SN50540;10.01.2024 11:00;0
Bergen - Florida;SN50540;10.01.2024 12:00;0
Bergen - Florida;SN50540;10.01.2024 13:00;0
Bergen - Florida;SN50540;10.01.2024 14:00;0
Bergen - Florida;SN50540;10.01.2024 15:00;0
Bergen - Florida;SN50540;10.01.2024 16:00;0
Bergen - Florida;SN50540;10.01.2024 17:00;0
Bergen - Florida;SN50540;10.01.2024 18:00;0
Bergen - Florida;SN50540;10.01.2024 19:00;0
Bergen - Florida;SN50540;10.01.2024 20:00;0
Bergen - Florida;SN50540;10.01.2024 21:00;0
Bergen - Florida;SN50540;10.01.2024 22:00;0
Bergen - Florida;SN50540;10.01.2024 23:00;0
Bergen - Florida;SN50540;11.01.2024 00:00;0
Bergen - Florida;SN50540;11.01.2024 01:00;0
Bergen - Florida;SN50540;11.01.2024 02:00;0
Bergen - Florida;SN50540;11.01.2024 03:00;0
Bergen - Florida;SN50540;11.01.2024 04:00;0
Bergen - Florida;SN50540;11.01.2024 05:00;0
Bergen - Florida;SN50540;11.01.2024 06:00;0
Bergen - Florida;SN50540;11.01.2024 07:00;0
Bergen - Florida;SN50540;11.01.2024 08:00;0
Bergen - Florida;SN50540;11.01.2024 09:00;0
Bergen - Florida;SN50540;11.01.2024 10:00;0
Bergen - Florida;SN50540;11.01.2024 11:00;0
Bergen - Florida;SN50540;11.01.2024 12:00;0
Bergen - Florida;SN50540;11.01.2024 13:00;0
Bergen - Florida;SN50540;11.01.2024 14:00;0
Bergen - Florida;SN50540;11.01.2024 15:00;0
Bergen - Florida;SN50540;11.01.2024 16:00;0
Bergen - Florida;SN50540;11.01.2024 17:00;0
Bergen - Florida;SN50540;11.01.2024 18:00;0
Bergen - Florida;SN50540;11.01.2024 19:00;0
Bergen - Florida;SN50540;11.01.2024 20:00;0
Bergen - Florida;SN50540;11.01.2024 21:00;0
Bergen - Florida;SN50540;11.01.2024 22:00;0
Bergen - Florida;SN50540;11.01.2024 23:00;0
Bergen - Florida;SN50540;12.01.2024 00:00;0
Bergen - Florida;SN50540;12.01.2024 01:00;0
Bergen - Florida;SN50540;12.01.2024 02:00;0
Bergen - Florida;SN50540;12.01.2024 03:00;0
Bergen - Florida;SN50540;12.01.2024 04:00;0
Bergen - Florida;SN50540;12.01.2024 05:00;0
Bergen - Florida;SN50540;12.01.2024 06:00;0
Bergen - Florida;SN50540;12.01.2024 07:00;0
Bergen - Florida;SN50540;12.01.2024 08:00;0
Bergen - Florida;SN50540;12.01.2024 09:00;0
Bergen - Florida;SN50540;12.01.2024 10:00;0
Bergen - Florida;SN50540;12.01.2024 15:00;0
Bergen - Florida;SN50540;12.01.2024 17:00;0
Bergen - Florida;SN50540;13.01.2024 11:00;0
Bergen - Florida;SN50540;13.01.2024 17:00;0
Bergen - Florida;SN50540;13.01.2024 20:00;0
Bergen - Florida;SN50540;13.01.2024 21:00;0
Bergen - Florida;SN50540;13.01.2024 22:00;0
Bergen - Florida;SN50540;14.01.2024 12:00;0
Bergen - Florida;SN50540;14.01.2024 19:00;0
Bergen - Florida;SN50540;15.01.2024 06:00;0
Bergen - Florida;SN50540;15.01.2024 09:00;0
Bergen - Florida;SN50540;15.01.2024 14:00;0
Bergen - Florida;SN50540;15.01.2024 15:00;0
Bergen - Florida;SN50540;15.01.2024 23:00;0
Bergen - Florida;SN50540;16.01.2024 00:00;0
Bergen - Florida;SN50540;16.01.2024 14:00;0
Bergen - Florida;SN50540;16.01.2024 20:00;0
Bergen - Florida;SN50540;17.01.2024 00:00;0
Bergen - Florida;SN50540;17.01.2024 01:00;0
Bergen - Florida;SN50540;17.01.2024 02:00;0
Bergen - Florida;SN50540;17.01.2024 06:00;0
Bergen - Florida;SN50540;17.01.2024 07:00;0
Bergen - Florida;SN50540;17.01.2024 08:00;0
Bergen - Florida;SN50540;17.01.2024 09:00;0
Bergen - Florida;SN50540;17.01.2024 10:00;0
Bergen - Florida;SN50540;17.01.2024 11:00;0
Bergen - Florida;SN50540;17.01.2024 12:00;0
Bergen - Florida;SN50540;17.01.2024 13:00;0
Bergen - Florida;SN50540;17.01.2024 14:00;0
Bergen - Florida;SN50540;17.01.2024 15:00;0
Bergen - Florida;SN50540;17.01.2024 16:00;0
Bergen - Florida;SN50540;17.01.2024 17:00;0
Bergen - Florida;SN50540;17.01.2024 18:00;0
Bergen - Florida;SN50540;17.01.2024 19:00;0
Bergen - Florida;SN50540;17.01.2024 20:00;0
Bergen - Florida;SN50540;17.01.2024 21:00;0
Bergen - Florida;SN50540;17.01.2024 22:00;0
Bergen - Florida;SN50540;17.01.2024 23:00;0
Bergen - Florida;SN50540;18.01.2024 00:00;0
Bergen - Florida;SN50540;18.01.2024 01:00;0
Bergen - Florida;SN50540;18.01.2024 23:00;0
Bergen - Florida;SN50540;19.01.2024 00:00;0
Bergen - Florida;SN50540;19.01.2024 12:00;0
Bergen - Florida;SN50540;19.01.2024 17:00;0
Bergen - Florida;SN50540;19.01.2024 19:00;0
Bergen - Florida;SN50540;19.01.2024 20:00;0
Bergen - Florida;SN50540;19.01.2024 23:00;0
Bergen - Florida;SN50540;20.01.2024 00:00;0
Bergen - Florida;SN50540;20.01.2024 01:00;0
Bergen - Florida;SN50540;20.01.2024 02:00;0
Bergen - Florida;SN50540;20.01.2024 03:00;0
Bergen - Florida;SN50540;20.01.2024 04:00;0
Bergen - Florida;SN50540;20.01.2024 05:00;0
Bergen - Florida;SN50540;20.01.2024 06:00;0
Bergen - Florida;SN50540;20.01.2024 07:00;0
Bergen - Florida;SN50540;20.01.2024 08:00;0
Bergen - Florida;SN50540;20.01.2024 09:00;0
Bergen - Florida;SN50540;20.01.2024 11:00;0
Bergen - Florida;SN50540;20.01.2024 12:00;0
Bergen - Florida;SN50540;20.01.2024 22:00;0
Bergen - Florida;SN50540;20.01.2024 23:00;0
Bergen - Florida;SN50540;21.01.2024 00:00;0
Bergen - Florida;SN50540;21.01.2024 17:00;0
Bergen - Florida;SN50540;21.01.2024 18:00;0
Bergen - Florida;SN50540;21.01.2024 19:00;0
Bergen - Florida;SN50540;21.01.2024 20:00;0
Bergen - Florida;SN50540;21.01.2024 21:00;0
Bergen - Florida;SN50540;22.01.2024 13:00;0
Bergen - Florida;SN50540;22.01.2024 14:00;0
Bergen - Florida;SN50540;22.01.2024 15:00;0
Bergen - Florida;SN50540;22.01.2024 16:00;0
Bergen - Florida;SN50540;22.01.2024 17:00;0
Bergen - Florida;SN50540;22.01.2024 18:00;0
Bergen - Florida;SN50540;22.01.2024 19:00;0
Bergen - Florida;SN50540;22.01.2024 20:00;0
Bergen - Florida;SN50540;22.01.2024 21:00;0
Bergen - Florida;SN50540;23.01.2024 00:00;0
Bergen - Florida;SN50540;23.01.2024 04:00;0
Bergen - Florida;SN50540;23.01.2024 05:00;0
Bergen - Florida;SN50540;23.01.2024 06:00;0
Bergen - Florida;SN50540;23.01.2024 07:00;0
Bergen - Florida;SN50540;23.01.2024 08:00;0
Bergen - Florida;SN50540;23.01.2024 09:00;0
Bergen - Florida;SN50540;23.01.2024 10:00;0
Bergen - Florida;SN50540;23.01.2024 11:00;0
Bergen - Florida;SN50540;23.01.2024 12:00;0
Bergen - Florida;SN50540;23.01.2024 13:00;0
Bergen - Florida;SN50540;23.01.2024 14:00;0
Bergen - Florida;SN50540;23.01.2024 17:00;0
Bergen - Florida;SN50540;23.01.2024 18:00;0
Bergen - Florida;SN50540;23.01.2024 19:00;0
Bergen - Florida;SN50540;23.01.2024 20:00;0
Bergen - Florida;SN50540;23.01.2024 21:00;0
Bergen - Florida;SN50540;24.01.2024 14:00;0
Bergen - Florida;SN50540;24.01.2024 15:00;0
Bergen - Florida;SN50540;24.01.2024 16:00;0
Bergen - Florida;SN50540;24.01.2024 21:00;0
Bergen - Florida;SN50540;25.01.2024 00:00;0
Bergen - Florida;SN50540;25.01.2024 01:00;0
Bergen - Florida;SN50540;25.01.2024 02:00;0
Bergen - Florida;SN50540;25.01.2024 03:00;0
Bergen - Florida;SN50540;25.01.2024 04:00;0
Bergen - Florida;SN50540;25.01.2024 05:00;0
Bergen - Florida;SN50540;25.01.2024 06:00;0
Bergen - Florida;SN50540;25.01.2024 08:00;0
Bergen - Florida;SN50540;25.01.2024 09:00;0
Bergen - Florida;SN50540;25.01.2024 10:00;0
Bergen - Florida;SN50540;25.01.2024 11:00;0
Bergen - Florida;SN50540;25.01.2024 12:00;0
Bergen - Florida;SN50540;25.01.2024 13:00;0
Bergen - Florida;SN50540;25.01.2024 14:00;0
Bergen - Florida;SN50540;25.01.2024 15:00;0
Bergen - Florida;SN50540;25.01.2024 16:00;0
Bergen - Florida;SN50540;25.01.2024 17:00;0
Bergen - Florida;SN50540;25.01.2024 18:00;0
Bergen - Florida;SN50540;25.01.2024 19:00;0
Bergen - Florida;SN50540;25.01.2024 20:00;0
Bergen - Florida;SN50540;25.01.2024 21:00;0
Bergen - Florida;SN50540;25.01.2024 22:00;0
Bergen - Florida;SN50540;25.01.2024 23:00;0
Bergen - Florida;SN50540;26.01.2024 00:00;0
Bergen - Florida;SN50540;26.01.2024 01:00;0
Bergen - Florida;SN50540;26.01.2024 02:00;0
Bergen - Florida;SN50540;26.01.2024 04:00;0
Bergen - Florida;SN50540;26.01.2024 12:00;0
Bergen - Florida;SN50540;26.01.2024 16:00;0
Bergen - Florida;SN50540;26.01.2024 17:00;0
Bergen - Florida;SN50540;26.01.2024 18:00;0
Bergen - Florida;SN50540;26.01.2024 19:00;0
Bergen - Florida;SN50540;26.01.2024 20:00;0
Bergen - Florida;SN50540;26.01.2024 21:00;0
Bergen - Florida;SN50540;26.01.2024 22:00;0
Bergen - Florida;SN50540;26.01.2024 23:00;0
Bergen - Florida;SN50540;27.01.2024 05:00;0
Bergen - Florida;SN50540;27.01.2024 08:00;0
Bergen - Florida;SN50540;27.01.2024 09:00;0
Bergen - Florida;SN50540;27.01.2024 10:00;0
Bergen - Florida;SN50540;27.01.2024 11:00;0
Bergen - Florida;SN50540;27.01.2024 12:00;0
Bergen - Florida;SN50540;27.01.2024 13:00;0
Bergen - Florida;SN50540;27.01.2024 14:00;0
Bergen - Florida;SN50540;27.01.2024 15:00;0
Bergen - Florida;SN50540;27.01.2024 19:00;0
Bergen - Florida;SN50540;27.01.2024 20:00;0
Bergen - Florida;SN50540;28.01.2024 00:00;0
Bergen - Florida;SN50540;28.01.2024 01:00;0
Bergen - Florida;SN50540;28.01.2024 02:00;0
Bergen - Florida;SN50540;28.01.2024 03:00;0
Bergen - Florida;SN50540;28.01.2024 04:00;0
Bergen - Florida;SN50540;28.01.2024 05:00;0
Bergen - Florida;SN50540;28.01.2024 06:00;0
Bergen - Florida;SN50540;28.01.2024 07:00;0
Bergen - Florida;SN50540;28.01.2024 08:00;0
Bergen - Florida;SN50540;28.01.2024 09:00;0
Bergen - Florida;SN50540;28.01.2024 10:00;0
Bergen - Florida;SN50540;28.01.2024 11:00;0
Bergen - Florida;SN50540;28.01.2024 12:00;0
Bergen - Florida;SN50540;28.01.2024 13:00;0
Bergen - Florida;SN50540;28.01.2024 14:00;0
Bergen - Florida;SN50540;28.01.2024 15:00;0
Bergen - Florida;SN50540;28.01.2024 16:00;0
Bergen - Florida;SN50540;28.01.2024 17:00;0
Bergen - Florida;SN50540;28.01.2024 18:00;0
Bergen - Florida;SN50540;28.01.2024 19:00;0
Bergen - Florida;SN50540;28.01.2024 20:00;0
Bergen - Florida;SN50540;28.01.2024 21:00;0
Bergen - Florida;SN50540;28.01.2024 22:00;0
Bergen - Florida;SN50540;29.01.2024 06:00;0
Bergen - Florida;SN50540;29.01.2024 08:00;0
Bergen - Florida;SN50540;29.01.2024 09:00;0
Bergen - Florida;SN50540;29.01.2024 10:00;0
Bergen - Florida;SN50540;29.01.2024 11:00;0
Bergen - Florida;SN50540;29.01.2024 12:00;0
Bergen - Florida;SN50540;29.01.2024 13:00;0
Bergen - Florida;SN50540;29.01.2024 14:00;0
Bergen - Florida;SN50540;29.01.2024 15:00;0
Bergen - Florida;SN50540;29.01.2024 16:00;0
Bergen - Florida;SN50540;29.01.2024 17:00;0
Bergen - Florida;SN50540;29.01.2024 18:00;0
Bergen - Florida;SN50540;29.01.2024 19:00;0
Bergen - Florida;SN50540;29.01.2024 20:00;0
Bergen - Florida;SN50540;29.01.2024 21:00;0
Bergen - Florida;SN50540;29.01.2024 22:00;0
Bergen - Florida;SN50540;29.01.2024 23:00;0
Bergen - Florida;SN50540;30.01.2024 00:00;0
Bergen - Florida;SN50540;30.01.2024 01:00;0
Bergen - Florida;SN50540;30.01.2024 02:00;0
Bergen - Florida;SN50540;30.01.2024 03:00;0
Bergen - Florida;SN50540;30.01.2024 04:00;0
Bergen - Florida;SN50540;30.01.2024 05:00;0
Bergen - Florida;SN50540;30.01.2024 06:00;0
Bergen - Florida;SN50540;30.01.2024 07:00;0
Bergen - Florida;SN50540;30.01.2024 08:00;0
Bergen - Florida;SN50540;30.01.2024 09:00;0
Bergen - Florida;SN50540;30.01.2024 10:00;0
Bergen - Florida;SN50540;30.01.2024 11:00;0
Bergen - Florida;SN50540;30.01.2024 12:00;0
Bergen - Florida;SN50540;30.01.2024 13:00;0
Bergen - Florida;SN50540;30.01.2024 14:00;0
Bergen - Florida;SN50540;30.01.2024 15:00;0
Bergen - Florida;SN50540;30.01.2024 16:00;0
Bergen - Florida;SN50540;30.01.2024 17:00;0
Bergen - Florida;SN50540;30.01.2024 18:00;0
Bergen - Florida;SN50540;30.01.2024 19:00;0
Bergen - Florida;SN50540;30.01.2024 20:00;0
Bergen - Florida;SN50540;30.01.2024 21:00;0
Bergen - Florida;SN50540;30.01.2024 22:00;0
Bergen - Florida;SN50540;30.01.2024 23:00;0
Bergen - Florida;SN50540;31.01.2024 00:00;0
Bergen - Florida;SN50540;31.01.2024 01:00;0
Bergen - Florida;SN50540;31.01.2024 02:00;0
Bergen - Florida;SN50540;31.01.2024 03:00;0
Bergen - Florida;SN50540;31.01.2024 04:00;0
Bergen - Florida;SN50540;31.01.2024 05:00;0
Bergen - Florida;SN50540;31.01.2024 06:00;0
Bergen - Florida;SN50540;31.01.2024 07:00;0
Bergen - Florida;SN50540;31.01.2024 08:00;0
Bergen - Florida;SN50540;31.01.2024 09:00;0
Bergen - Florida;SN50540;31.01.2024 10:00;0
Bergen - Florida;SN50540;31.01.2024 11:00;0
Bergen - Florida;SN50540;31.01.2024 21:00;0
Bergen - Florida;SN50540;31.01.2024 23:00;0
Bergen - Florida;SN50540;01.02.2024 00:00;0
Bergen - Florida;SN50540;01.02.2024 01:00;0
